id,product_id,location_id,supplier_id,lot_number,quantity,expiry_date,received_date
138,44,3,5,LOT-2025-0138,141,2027-06-05,2025-10-13
139,44,1,5,LOT-2025-0139,30,2026-08-16,2025-06-05
140,45,4,5,LOT-2026-0140,166,2026-09-14,2026-02-03
141,45,2,5,LOT-2026-0141,200,2027-11-19,2026-01-11
142,45,5,5,LOT-2025-0142,116,2026-02-15,2025-08-01
143,45,3,5,LOT-2025-0143,63,2026-05-16,2025-06-21
144,46,4,6,LOT-2025-0144,161,2027-06-14,2025-07-13
145,46,3,6,LOT-2025-0145,172,2026-05-28,2025-01-05
146,47,4,6,LOT-2025-0146,22,2027-01-19,2025-04-29
147,47,1,6,LOT-2025-0147,100,2026-06-19,2025-07-11
148,48,4,6,LOT-2025-0148,94,2026-05-08,2025-02-19
149,48,3,6,LOT-2025-0149,109,2026-09-11,2025-01-24
150,49,3,6,LOT-2025-0150,126,2026-02-18,2025-06-03
151,49,2,6,LOT-2025-0151,15,2025-12-05,2025-05-21
152,49,4,6,LOT-2025-0152,32,2026-12-29,2025-02-21
153,50,2,6,LOT-2025-0153,23,2026-12-05,2025-06-22
154,50,3,6,LOT-2026-0154,131,2026-10-08,2026-01-13
155,50,1,6,LOT-2025-0155,17,2026-04-14,2025-02-22
156,50,5,6,LOT-2025-0156,39,2027-01-09,2025-05-31
157,51,5,3,LOT-2025-0157,164,2027-05-03,2025-08-22
158,51,2,3,LOT-2025-0158,79,2025-12-29,2025-02-28
159,52,5,2,LOT-2025-0159,76,2027-01-21,2025-09-04
160,52,3,2,LOT-2025-0160,102,2027-04-23,2025-10-31
161,52,4,2,LOT-2025-0161,125,2026-06-30,2025-09-13
162,53,2,2,LOT-2025-0162,189,2026-07-10,2025-10-16
163,53,3,2,LOT-2025-0163,31,2026-11-20,2025-11-22
164,54,1,1,LOT-2025-0164,89,2026-05-14,2025-07-13
165,54,4,1,LOT-2025-0165,139,2026-12-23,2025-05-14
166,55,1,1,LOT-2025-0166,109,2027-03-22,2025-03-24
167,55,4,1,LOT-2025-0167,129,2026-12-31,2025-12-07
168,55,2,1,LOT-2025-0168,167,2026-03-15,2025-06-02
169,56,3,2,LOT-2025-0169,57,2026-02-11,2025-08-01
170,56,2,2,LOT-2025-0170,66,2027-02-15,2025-03-27
171,56,4,2,LOT-2025-0171,93,2026-01-02,2025-06-20
172,57,4,2,LOT-2025-0172,19,2026-02-01,2025-03-21
173,57,2,2,LOT-2025-0173,103,2026-11-21,2025-11-08
174,57,5,2,LOT-2025-0174,153,2026-07-12,2025-12-06
175,57,1,2,LOT-2025-0175,159,2026-06-02,2025-05-02
176,58,3,3,LOT-2025-0176,184,2026-09-10,2025-04-30
177,58,4,3,LOT-2025-0177,154,2027-05-01,2025-09-24
178,59,3,3,LOT-2026-0178,17,2027-01-18,2026-01-27
179,59,4,3,LOT-2025-0179,68,2027-04-13,2025-04-21
180,60,3,3,LOT-2025-0180,87,2026-01-31,2025-06-15
181,60,2,3,LOT-2025-0181,159,2027-07-12,2025-08-11
182,61,4,5,LOT-2025-0182,173,2027-03-04,2025-08-25
183,61,1,5,LOT-2025-0183,122,2027-01-27,2025-12-23
184,61,3,5,LOT-2025-0184,183,2027-03-08,2025-12-09
185,61,2,5,LOT-2025-0185,76,2026-11-16,2025-07-02
186,62,5,5,LOT-2026-0186,192,2027-09-15,2026-01-31
187,62,4,5,LOT-2025-0187,136,2026-07-31,2025-12-31
188,62,2,5,LOT-2026-0188,136,2027-09-03,2026-01-04
189,63,5,6,LOT-2025-0189,194,2027-09-03,2025-12-26
190,63,4,6,LOT-2025-0190,17,2026-04-29,2025-06-15
191,63,3,6,LOT-2025-0191,144,2027-04-20,2025-12-24
192,64,4,6,LOT-2025-0192,146,2026-04-20,2025-06-06
193,64,3,6,LOT-2025-0193,200,2026-07-01,2025-02-15
194,64,1,6,LOT-2025-0194,127,2026-05-22,2025-07-01
195,64,2,6,LOT-2025-0195,160,2026-05-26,2025-02-08
196,65,1,1,LOT-2025-0196,167,2026-12-31,2025-12-07
197,65,4,1,LOT-2025-0197,146,2026-05-28,2025-09-21
198,65,5,1,LOT-2025-0198,58,2026-09-07,2025-05-19
199,66,1,1,LOT-2025-0199,152,2027-04-30,2025-12-09
200,66,2,1,LOT-2025-0200,97,2026-01-28,2025-06-29
201,66,5,1,LOT-2025-0201,195,2026-03-23,2025-06-19
202,67,2,1,LOT-2025-0202,125,2027-08-30,2025-12-18
203,67,5,1,LOT-2025-0203,89,2026-06-29,2025-02-14
204,68,2,1,LOT-2026-0204,137,2027-07-04,2026-01-05
205,68,3,1,LOT-2025-0205,28,2027-06-23,2025-10-09
206,69,5,2,LOT-2025-0206,77,2026-12-28,2025-10-11
207,69,2,2,LOT-2025-0207,60,2027-11-04,2025-12-16
208,70,1,2,LOT-2025-0208,72,2026-09-05,2025-10-03
209,70,5,2,LOT-2025-0209,84,2025-12-09,2025-06-10
210,70,2,2,LOT-2025-0210,193,2027-01-02,2025-06-20
211,71,3,4,LOT-2025-0211,180,2027-03-06,2025-10-27
212,71,1,4,LOT-2025-0212,136,2026-10-01,2025-12-09
213,71,4,4,LOT-2025-0213,66,2027-05-06,2025-12-17
214,71,5,4,LOT-2026-0214,194,2027-04-30,2026-01-31
215,72,5,4,LOT-2025-0215,84,2026-11-28,2025-09-26
216,72,1,4,LOT-2025-0216,91,2026-05-04,2025-09-23
217,72,4,4,LOT-2026-0217,60,2026-08-28,2026-01-01
218,72,3,4,LOT-2025-0218,196,2026-01-23,2025-03-03
219,73,4,6,LOT-2025-0219,161,2026-02-03,2025-02-01
220,73,1,6,LOT-2025-0220,105,2026-09-08,2025-02-20
221,73,3,6,LOT-2025-0221,15,2026-05-16,2025-08-17
222,73,5,6,LOT-2025-0222,60,2026-05-29,2025-08-11
223,74,2,6,LOT-2025-0223,190,2027-03-19,2025-10-09
224,74,1,6,LOT-2025-0224,78,2027-05-16,2025-12-07
225,75,5,5,LOT-2025-0225,37,2026-10-15,2025-03-16
226,75,4,5,LOT-2026-0226,115,2027-10-24,2026-01-20
227,75,3,5,LOT-2026-0227,103,2027-08-30,2026-01-18
228,75,1,5,LOT-2025-0228,110,2027-08-20,2025-12-14
