id,sku,name,description,frontend_name,upc,flavour,size,weight,supply_price,retail_price,is_active,new_arrival,image_url,inventory_level,track_inventory,reorder_quantity,reorder_point,brand_id,supplier_id,product_category_one_id,product_category_two_id,product_category_three_id
39,TOB-009,Swisher Sweets Blueberry,Swisher Sweets Blueberry - Blueberry 2 pack,Swisher Sweets Blueberry,010859217980,Blueberry,2 pack,0.5,0.85,1.99,true,false,,69,true,72,24,17,4,4,10,28
40,TOB-010,Dutch Masters Honey Fusion,Dutch Masters Honey Fusion - Honey 2 pack,Dutch Masters Honey Fusion,933269253798,Honey,2 pack,0.5,1.1,2.49,true,false,,154,true,24,12,18,4,4,10,29
41,HLT-001,Advil Ibuprofen 2ct,Advil Ibuprofen 2ct -  2 ct,Advil Ibuprofen 2ct,336257479085,,2 ct,0.1,0.45,1.29,true,false,,248,true,48,36,22,5,5,13,37
42,HLT-002,Tylenol Extra Strength 2ct,Tylenol Extra Strength 2ct -  2 ct,Tylenol Extra Strength 2ct,614025420882,,2 ct,0.1,0.5,1.49,true,true,,453,true,48,24,23,5,5,13,37
43,HLT-003,Chapstick Original,Chapstick Original - Original 0.15 oz,Chapstick Original,361958647378,Original,0.15 oz,0.15,0.85,1.99,true,false,,422,true,72,12,25,5,5,14,40
44,HLT-004,Colgate Toothpaste Travel,Colgate Toothpaste Travel - Cavity Protection 1 oz,Colgate Toothpaste Travel,373018067698,Cavity Protection,1 oz,1.0,0.75,1.79,true,false,,69,true,24,36,21,5,5,14,39
45,HLT-005,Band-Aid Assorted 10ct,Band-Aid Assorted 10ct -  10 ct,Band-Aid Assorted 10ct,729815779121,,10 ct,0.5,1.5,3.49,true,false,,385,true,48,12,24,5,5,14,41
46,PPK-001,Hefty Tall Kitchen Bags 10ct,Hefty Tall Kitchen Bags 10ct -  10 ct,Hefty Tall Kitchen Bags 10ct,451715975024,,10 ct,8.0,2.5,4.99,true,false,,184,true,24,36,26,6,6,15,43
47,PPK-002,Reynolds Wrap Aluminum Foil,Reynolds Wrap Aluminum Foil -  30 sq ft,Reynolds Wrap Aluminum Foil,016368090946,,30 sq ft,4.0,2.25,4.49,true,false,,56,true,96,12,30,6,6,16,46
48,PPK-003,Bounty Paper Towels Single,Bounty Paper Towels Single -  1 roll,Bounty Paper Towels Single,644466027099,,1 roll,6.0,2.0,3.99,true,false,,270,true,96,24,27,6,6,16,47
49,PPK-004,Dixie Paper Cups 50ct,Dixie Paper Cups 50ct -  50 ct,Dixie Paper Cups 50ct,792209347887,,50 ct,3.0,3.0,5.99,true,false,,289,true,96,24,29,6,6,17,49
50,PPK-005,Scott Toilet Paper 4pk,Scott Toilet Paper 4pk -  4 roll,Scott Toilet Paper 4pk,745703518827,,4 roll,8.0,3.25,5.49,true,false,,492,true,24,36,28,6,6,16,47
51,SNK-011,Doritos Spicy Sweet Chili,Doritos Spicy Sweet Chili - Spicy Sweet Chili 2.75 oz,Doritos Spicy Sweet Chili,707511195412,Spicy Sweet Chili,2.75 oz,2.75,1.1,2.49,true,false,,259,true,96,12,6,3,2,4,8
52,BEV-011,Monster Mango Loco,Monster Mango Loco - Mango Loco 16 oz,Monster Mango Loco,296159582745,Mango Loco,16 oz,16.0,1.6,3.29,true,false,,150,true,96,12,12,2,3,7,19
53,BEV-012,Coca-Cola Cherry 20oz,Coca-Cola Cherry 20oz - Cherry 20 oz,Coca-Cola Cherry 20oz,918165102257,Cherry,20 oz,20.0,0.95,2.29,true,false,,179,true,48,36,13,2,3,8,22
54,CND-011,Reese's Pieces,Reese's Pieces - Peanut Butter 4 oz,Reese's Pieces,602096308645,Peanut Butter,4 oz,4.0,1.3,2.79,true,false,,271,true,96,12,4,1,1,1,1
55,CND-012,Kit Kat Big Kat,Kit Kat Big Kat - Milk Chocolate 3 oz,Kit Kat Big Kat,772164481515,Milk Chocolate,3 oz,3.0,1.45,3.19,true,false,,423,true,96,36,5,1,1,1,1
56,BEV-013,Pepsi Zero Sugar 20oz,Pepsi Zero Sugar 20oz - Zero Sugar 20 oz,Pepsi Zero Sugar 20oz,899531476992,Zero Sugar,20 oz,20.0,0.95,2.29,true,false,,411,true,96,24,14,2,3,8,22
57,BEV-014,Gatorade Cool Blue 20oz,Gatorade Cool Blue 20oz - Cool Blue 20 oz,Gatorade Cool Blue 20oz,713550699461,Cool Blue,20 oz,20.0,1.05,2.49,true,false,,121,true,96,12,15,2,3,9,27
58,SNK-012,Pringles Sour Cream & Onion,Pringles Sour Cream & Onion - Sour Cream & Onion 5.5 oz,Pringles Sour Cream & Onion,925428208211,Sour Cream & Onion,5.5 oz,5.5,1.65,3.49,true,false,,270,true,96,12,10,3,2,4,7
59,SNK-013,Takis Blue Heat,Takis Blue Heat - Blue Heat 4 oz,Takis Blue Heat,816959145574,Blue Heat,4 oz,4.0,1.3,2.99,true,false,,327,true,48,24,9,3,2,4,8
60,SNK-014,Jack Link's Teriyaki Jerky,Jack Link's Teriyaki Jerky - Teriyaki 2.85 oz,Jack Link's Teriyaki Jerky,563194324615,Teriyaki,2.85 oz,2.85,3.5,7.99,true,false,,373,true,48,24,36,3,2,6,16
61,HLT-006,Chapstick Cherry,Chapstick Cherry - Cherry 0.15 oz,Chapstick Cherry,127655544850,Cherry,0.15 oz,0.15,0.85,1.99,true,false,,111,true,72,24,25,5,5,14,40
62,HLT-007,Advil Ibuprofen 10ct,Advil Ibuprofen 10ct -  10 ct,Advil Ibuprofen 10ct,818692354836,,10 ct,0.5,2.0,4.49,true,false,,138,true,96,12,22,5,5,13,37
63,PPK-006,Hefty Zip Bags Quart 15ct,Hefty Zip Bags Quart 15ct -  15 ct,Hefty Zip Bags Quart 15ct,153149733206,,15 ct,2.0,1.75,3.49,true,false,,178,true,72,36,26,6,6,15,45
64,PPK-007,Dixie Foam Cups 20ct,Dixie Foam Cups 20ct -  20 ct,Dixie Foam Cups 20ct,706952618114,,20 ct,2.0,2.25,4.49,true,false,,378,true,72,12,29,6,6,17,50
65,CND-013,Haribo Peaches,Haribo Peaches - Peach 5 oz,Haribo Peaches,808008031171,Peach,5 oz,5.0,1.5,3.29,true,false,,85,true,24,24,38,1,1,2,4
66,CND-014,Sour Patch Watermelon,Sour Patch Watermelon - Watermelon 3.5 oz,Sour Patch Watermelon,757505346859,Watermelon,3.5 oz,3.5,1.25,2.79,true,false,,456,true,72,24,39,1,1,2,5
67,CND-015,M&M's Caramel,M&M's Caramel - Caramel 1.41 oz,M&M's Caramel,202822325080,Caramel,1.41 oz,1.41,0.95,2.09,true,false,,200,true,72,24,3,1,1,1,1
68,CND-016,Snickers Almond,Snickers Almond - Almond 1.76 oz,Snickers Almond,753168175856,Almond,1.76 oz,1.76,0.85,2.19,true,true,,73,true,96,36,2,1,1,1,1
69,BEV-015,Red Bull Watermelon 8.4oz,Red Bull Watermelon 8.4oz - Watermelon 8.4 oz,Red Bull Watermelon 8.4oz,452516000464,Watermelon,8.4 oz,8.4,1.8,3.49,true,false,,361,true,24,24,11,2,3,7,19
70,BEV-016,Monster Pipeline Punch,Monster Pipeline Punch - Pipeline Punch 16 oz,Monster Pipeline Punch,934783460821,Pipeline Punch,16 oz,16.0,1.6,3.29,true,false,,452,true,48,12,12,2,3,7,19
71,TOB-011,Swisher Sweets Strawberry,Swisher Sweets Strawberry - Strawberry 2 pack,Swisher Sweets Strawberry,534644642313,Strawberry,2 pack,0.5,0.85,1.99,true,false,,83,true,72,12,17,4,4,10,28
72,TOB-012,RAW Black Papers,RAW Black Papers -  1 1/4,RAW Black Papers,055071717873,,1 1/4,0.1,1.5,3.49,true,false,,74,true,48,24,19,4,4,11,31
73,PPK-008,Bounty Select-A-Size,Bounty Select-A-Size -  1 roll,Bounty Select-A-Size,669538372629,,1 roll,6.0,2.25,4.29,true,false,,232,true,24,36,27,6,6,16,47
74,PPK-009,Reynolds Plastic Wrap,Reynolds Plastic Wrap -  75 sq ft,Reynolds Plastic Wrap,699969407898,,75 sq ft,3.0,2.0,3.99,true,false,,234,true,48,24,30,6,6,16,47
75,HLT-008,Colgate Max Fresh Travel,Colgate Max Fresh Travel - Cool Mint 1 oz,Colgate Max Fresh Travel,564940448384,Cool Mint,1 oz,1.0,0.8,1.99,true,false,,429,true,72,12,21,5,5,14,39
